Toipic/Chapter Name,Video Tile,Video Description,Video URL
Section 1,CCNA Tutorial 1.1,CCNA Tutorial 1.1,https://vimeo.com/695391771
Section 1,CCNA Tutorial 1.2,CCNA Tutorial 1.2,https://vimeo.com/695393761
Section 1,CCNA Tutorial 1.3,CCNA Tutorial 1.3,https://vimeo.com/695394850
Section 1,CCNA Tutorial 1.4,CCNA Tutorial 1.4,https://vimeo.com/695395804
Section 2,CCNA Tutorial 2,CCNA Tutorial 2,https://vimeo.com/695400813
Section 2,CCNA Tutorial 3.1,CCNA Tutorial 3.1,https://vimeo.com/695403192
Section 2,CCNA Tutorial 3.2,CCNA Tutorial 3.2,https://vimeo.com/695407332
Section 2,CCNA Tutorial 4,CCNA Tutorial 4,https://vimeo.com/695409509
Section 2,CCNA Tutorial 5,CCNA Tutorial 5,https://vimeo.com/695442401
Section 2,CCNA Tutorial 6,CCNA Tutorial 6,https://vimeo.com/695444684
