Toipic/Chapter Name,Video Title,Video Description,Video URL
MS Word ,Word Tutorial 1,Word Tutorial 1,https://vimeo.com/695194245
MS Word ,Word Tutorial 2,Word Tutorial 2,https://vimeo.com/695194456
MS Word ,Word Tutorial 3,Word Tutorial 3,https://vimeo.com/695197216
MS Word ,Word Tutorial 4,Word Tutorial 4,https://vimeo.com/695236567
MS Word ,word Tutorial 5,word Tutorial 5,https://vimeo.com/695240473
MS Word ,Word Tutorial 6,Word Tutorial 6,https://vimeo.com/695241653
MS Word ,Word Tutorial 7,Word Tutorial 7,https://vimeo.com/695242801
MS Word ,Word Tutorial 8,Word Tutorial 8,https://vimeo.com/695243855
MS Word ,Word Tutorial 9,Word Tutorial 9,https://vimeo.com/695351728
MS Word ,Word Tutorial 10,Word Tutorial 10,https://vimeo.com/695353130
MS Word ,Word Tutorial 11,Word Tutorial 11,https://vimeo.com/695353634
MS Word ,Word Tutorial 12,Word Tutorial 12,https://vimeo.com/695354189
MS Word ,Word Tutorial 13,Word Tutorial 13,https://vimeo.com/695354666
MS Word ,Word Tutorial 14,Word Tutorial 14,https://vimeo.com/695355165
MS Word ,Word Tutorial 15,Word Tutorial 15,https://vimeo.com/695373707
MS Word ,Word Tutorial 16,Word Tutorial 16,https://vimeo.com/695366700
MS Word ,Word Tutorial 17,Word Tutorial 17,https://vimeo.com/695367691
MS Word ,Word Tutorial 18,Word Tutorial 18,https://vimeo.com/695371241
MS Word ,Word Tutorial 19,Word Tutorial 19,https://vimeo.com/695371885
MS Word ,Word Tutorial 20,Word Tutorial 20,https://vimeo.com/695373099
MS Word ,Word Tutorial 15,Word Tutorial 15,https://vimeo.com/695373707
