Toipic/Chapter Name,Toipic/Chapter Name,Video Description,Video URL
Section 1,CSS Introduction,CSS Introduction,https://vimeo.com/669296463
Section 1,How To Add CSS,How To Add CSS,https://vimeo.com/669296544
Section 1,CSS Background,CSS Background,https://vimeo.com/669296715
Section 1,CSS Padding,CSS Padding,https://vimeo.com/669296961
Section 1,CSS Outline,CSS Outline,https://vimeo.com/669297166
Section 1,CSS Icons,CSS Icons,https://vimeo.com/669339273
Section 1,CSS Tables,CSS Tables,https://vimeo.com/669339747
Section 1,CSS Layout,CSS Layout,https://vimeo.com/669340303
Section 1,CSS Layout inline block,CSS Layout inline block,https://vimeo.com/669341645
Section 1,CSS Pseudo Classes,CSS Pseudo Classes,https://vimeo.com/669341971
Section 1,CSS Navigation Bar,CSS Navigation Bar,https://vimeo.com/669342826
Section 1,CSS Image Sprites,CSS Image Sprites,https://vimeo.com/669344120
Section 1,CSS Counters,CSS Counters,https://vimeo.com/669344393
Section 1,CSS Specifity,CSS Specifity,https://vimeo.com/669344564
Section 1,CSS Advanced,CSS Advanced,https://vimeo.com/669344812
Section 1,CSS Colors,CSS Colors,https://vimeo.com/669345161
Section 1,CSS Shadow Effects ,CSS Shadow Effects ,https://vimeo.com/669346455
Section 1,CSS 2D Transforms ,CSS 2D Transforms ,https://vimeo.com/669346915
Section 1,CSS Animations,CSS Animations,https://vimeo.com/669347275
Section 1,CSS Reflection,CSS Reflection,https://vimeo.com/669347662
Section 2,CSS Buttons,CSS Buttons,https://vimeo.com/669347894
Section 2,CSS User Interface,CSS User Interface,https://vimeo.com/669356972
Section 2,CSS Media Queries,CSS Media Queries,https://vimeo.com/669357426
Section 2,CSS Responsive,CSS Responsive,https://vimeo.com/669357793
Section 2,Responsive Web Design -Media Queries,Responsive Web Design -Media Queries,https://vimeo.com/669358201
Section 2,Responsive Web Design- Frameworks,Responsive Web Design- Frameworks,https://vimeo.com/669358674
Section 2,CSS Grid,CSS Grid,https://vimeo.com/669358830
Section 2,CSS SASS,CSS SASS,https://vimeo.com/669366701
Section 2,SASS Variables,SASS Variables,https://vimeo.com/669366945
Section 2,SASS mixin and include,SASS mixin and include,https://vimeo.com/669367112
Section 2,SASS Functions,SASS Functions,https://vimeo.com/669367322
Section 2,CSS Reference,CSS Reference,https://vimeo.com/669367459
Section 2,CSS all Property,CSS all Property,https://vimeo.com/669367677
Section 2,CSS Animation -Direction Property,CSS Animation -Direction Property,https://vimeo.com/669367802
Section 2,CSS Animation-Iteration Count Property,CSS Animation-Iteration Count Property,https://vimeo.com/669367962
Section 2,CSS Animation Timing Function Property,CSS Animation Timing Function Property,https://vimeo.com/669368071
Section 2,CSS Background - Attachment Property,CSS Background - Attachment Property,https://vimeo.com/669392097
Section 2,CSS Background - Color Property,CSS Background - Color Property,https://vimeo.com/669392205
Section 2,CSS Background -Position Property,CSS Background -Position Property,https://vimeo.com/669392363
Section 2,CSS Border Property,CSS Border Property,https://vimeo.com/669392498
Section 2,CSS Border - Bottom - Left - Radius Property,CSS Border - Bottom - Left - Radius Property,https://vimeo.com/669401948
Section 2,CSS Border - Bottom -Width Property,CSS Border - Bottom -Width Property,https://vimeo.com/669392614
Section 2,CSS Border - Image Property,CSS Border - Image Property,https://vimeo.com/669392752
Section 2,CSS Border- Image - Slice Property,CSS Border- Image - Slice Property,https://vimeo.com/669392950
Section 2,CSS Border - Left Property,CSS Border - Left Property,https://vimeo.com/669402576
Section 2,CSS Border - Left -Width Property,CSS Border - Left -Width Property,https://vimeo.com/669410262
Section 2,CSS Border - Right - Color Property,CSS Border - Right - Color Property,https://vimeo.com/669402682
Section 2,CSS Border - Spacing Property,CSS Border - Spacing Property,https://vimeo.com/669402806
Section 2,CSS Border - Top - Color Property,CSS Border - Top - Color Property,https://vimeo.com/669402924
Section 3,CSS Border -Top -Style Property,CSS Border -Top -Style Property,https://vimeo.com/669403335
