Toipic/Chapter Name,Toipic/Chapter Name,Video Description,Video URL
HTML,HTML-Introduction,HTML-Introduction,https://vimeo.com/669302195
HTML,HTML-Basic Tutorial,HTML-Basic Tutorial,https://vimeo.com/668895604
HTML,HTML Headings,HTML Headings,https://vimeo.com/668904983
HTML,HTML Text Formatting,HTML Text Formatting,https://vimeo.com/668905684
HTML,HTML Colors,HTML Colors,https://vimeo.com/668905914
HTML,HTML Images,HTML Images,https://vimeo.com/668906239
HTML,HTML Block and Inline Elements,HTML Block and Inline Elements,https://vimeo.com/668906839
HTML,HTML Iframes,HTML Iframes,https://vimeo.com/668907240
HTML,HTML - The Head Element,HTML - The Head Element,https://vimeo.com/668907727
HTML,HTML Computer Code Elements,HTML Computer Code Elements,https://vimeo.com/668908333
HTML,HTML  Entities,HTML  Entities,https://vimeo.com/668909040
HTML,HTML Encoding,HTML Encoding,https://vimeo.com/668909226
HTML,HTML Forms,HTML Forms,https://vimeo.com/668910289
HTML,HTML Input Types,HTML Input Types,https://vimeo.com/668910695
HTML,HTML Graphics,HTML Graphics,https://vimeo.com/668911381
HTML,HTML Audio,HTML Audio,https://vimeo.com/668911734
HTML,HTML APIs,HTML APIs,https://vimeo.com/668912103
HTML,HTML Web Workers API,HTML Web Workers API,https://vimeo.com/668912513
HTML,HTML Reference,HTML Reference,https://vimeo.com/668912866
HTML,HTML Abbreviation Tag,HTML Abbreviation Tag,https://vimeo.com/668913108
HTML,HTML Applet,HTML Applet,https://vimeo.com/668913419
HTML,HTML Aside Tag,HTML Aside Tag,https://vimeo.com/668914006
HTML,HTML Base Tag,HTML Base Tag,https://vimeo.com/668914598
HTML,HTML Bi-Directional Override,HTML Bi-Directional Override,https://vimeo.com/668914765
HTML,HTML Body Tag,HTML Body Tag,https://vimeo.com/668915051
HTML,HTML Canvas Tag,HTML Canvas Tag,https://vimeo.com/668915089
HTML,HTML Cite Tag,HTML Cite Tag,https://vimeo.com/668915568
HTML,HTML Colgroup Tag,HTML Colgroup Tag,https://vimeo.com/668923156
HTML,HTML DD Tag,HTML DD Tag,https://vimeo.com/668923689
HTML,HTML DFN Tag,HTML DFN Tag,https://vimeo.com/668923958
HTML,HTML div Tag,HTML div Tag,https://vimeo.com/668924202
HTML,HTML em Tag,HTML em Tag,https://vimeo.com/668924648
HTML,HTML figcaption Tag,HTML figcaption Tag,https://vimeo.com/668925330
HTML,HTML Footer Tag,HTML Footer Tag,https://vimeo.com/668925556
HTML,HTML Framset Tag,HTML Framset Tag,https://vimeo.com/668925776
HTML,HTML Header Tag,HTML Header Tag,https://vimeo.com/668925992
HTML,HTML i Tag,HTML i Tag,https://vimeo.com/668926368
HTML,HTML input Tag,HTML input Tag,https://vimeo.com/669285360
HTML,HTML label Tag,HTML label Tag,https://vimeo.com/669286249
HTML,HTML Link Tag,HTML Link Tag,https://vimeo.com/669288287
HTML,HTML Mark Tag,HTML Mark Tag,https://vimeo.com/669288629
HTML,HTML nav Tag,HTML nav Tag,https://vimeo.com/669289517
HTML,HTML object Tag,HTML object Tag,https://vimeo.com/669290343
HTML,HTML option Tag,HTML option Tag,https://vimeo.com/669290683
HTML,HTML param Tag,HTML param Tag,https://vimeo.com/669291002
HTML,HTML progress Tag,HTML progress Tag,https://vimeo.com/669291677
HTML,HTML span Tag,HTML span Tag,https://vimeo.com/669293113
HTML,HTML Style Tag,HTML Style Tag,https://vimeo.com/669293589
HTML,HTML Superscript Tag,HTML Superscript Tag,https://vimeo.com/669294169
HTML,HTML tbody Tag,HTML tbody Tag,https://vimeo.com/669294415
HTML,HTML textarea Tag,HTML textarea Tag,https://vimeo.com/669294697
HTML,HTML thead Tag,HTML thead Tag,https://vimeo.com/669294980
HTML,HTML tr Tag,HTML tr Tag,https://vimeo.com/669295468
HTML,HTML u Tag,HTML u Tag,https://vimeo.com/669295640
HTML,HTML video Tag,HTML video Tag,https://vimeo.com/669295812
