Toipic/Chapter Name,Toipic/Chapter Name,Video Description,Video URL
JavaScript,JavaScript Introduction,JavaScript Introduction,https://vimeo.com/669683361
JavaScript,JavaScript Statements,JavaScript Statements,https://vimeo.com/669683856
JavaScript,JavaScript Variables,JavaScript Variables,https://vimeo.com/669684704
JavaScript,JavaScript Operators,JavaScript Operators,https://vimeo.com/669689849
JavaScript,JavaScript Data Types,JavaScript Data Types,https://vimeo.com/669690858
JavaScript,JavaScript Events,JavaScript Events,https://vimeo.com/669692277
JavaScript,JavaScript String Search,JavaScript String Search,https://vimeo.com/669692891
JavaScript,JavaScript Number Methods,JavaScript Number Methods,https://vimeo.com/669693645
JavaScript,JavaScript Sorting Arrays,JavaScript Sorting Arrays,https://vimeo.com/669694163
JavaScript,JavaScript Date Objects,JavaScript Date Objects,https://vimeo.com/669696641
JavaScript,JavaScript Set Date Methods,JavaScript Set Date Methods,https://vimeo.com/669697388
JavaScript,JavaScript Booleans,JavaScript Booleans,https://vimeo.com/669697826
JavaScript,JavaScript Switch Statement,JavaScript Switch Statement,https://vimeo.com/669698302
JavaScript,JavaScript For Of,JavaScript For Of,https://vimeo.com/669698569
JavaScript,JavaScript typeof,JavaScript typeof,https://vimeo.com/669698850
JavaScript,JavaScript Regular Expressions,JavaScript Regular Expressions,https://vimeo.com/669699198
